Date : 2023-10-01 09:29:30
Directory : c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu
Total : 642 files,  499221 codes, 101143 comments, 30508 blanks, all 630872 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerMQTTAUTO.h                                                                    | C++          |      1,162 |        544 |        374 |      2,080 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerMQTTLP.h                                                                      | C++          |          0 |      2,041 |        437 |      2,478 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerPRO.h                                                                         | C++          |      1,153 |        511 |        356 |      2,020 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerPROAIR202.h                                                                   | C++          |        960 |        224 |        256 |      1,440 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerPROESP.h                                                                      | C++          |      2,278 |        791 |        655 |      3,724 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerPROESP_QRCODE.h                                                               | C++          |      2,057 |        738 |        614 |      3,409 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerPROSIM7020.h                                                                  | C++          |        953 |        139 |        235 |      1,327 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerQRCodeSIM7000.h                                                               | C++          |        917 |        126 |        232 |      1,275 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerQRCodeSIM7020.h                                                               | C++          |        917 |        125 |        232 |      1,274 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerSerial.h                                                                      | C++          |        164 |          3 |         30 |        197 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerSerialAIR202.h                                                                | C++          |        912 |        227 |        248 |      1,387 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerSerialGPRS.h                                                                  | C++          |        500 |        240 |        173 |        913 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerSerialMQTT.h                                                                  | C++          |        229 |          3 |         52 |        284 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerSerialNBIoT.h                                                                 | C++          |        209 |          3 |         45 |        257 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerSerialSIM7000.h                                                               | C++          |        911 |        126 |        233 |      1,270 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerSerialSIM7020.h                                                               | C++          |        909 |        123 |        230 |      1,262 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerSubDevice.h                                                                   | C++          |        898 |         26 |        186 |      1,110 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\BlinkerSubStream.h                                                                   | C++          |        152 |          0 |         27 |        179 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Adapters\test.h                                                                               | C++          |         28 |          0 |          1 |         29 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker.h                                                                                     | C++          |        182 |         92 |        115 |        389 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerAssistant.h                                                                            | C++          |        406 |          0 |        125 |        531 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerESP32BLE.h                                                                             | C++          |         24 |          0 |          9 |         33 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerESPGateway.h                                                                           | C++          |         24 |          0 |          9 |         33 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerESPHTTP.h                                                                              | C++          |         50 |          2 |         14 |         66 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerESPMQTT.h                                                                              | C++          |        231 |        348 |        105 |        684 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerESPMQTTAT.h                                                                            | C++          |         45 |          2 |         16 |         63 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerESPMQTTAUTO.h                                                                          | C++          |         24 |          0 |          9 |         33 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerESPMQTTLP.h                                                                            | C++          |          0 |        432 |         89 |        521 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerESPPRO.h                                                                               | C++          |         24 |          0 |          9 |         33 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerESPPROESP.h                                                                            | C++          |         24 |          0 |          9 |         33 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerESPSubDevice.h                                                                         | C++          |         21 |          0 |          7 |         28 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerLUATPRO.h                                                                              | C++          |        123 |         20 |         23 |        166 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerLowPowerGPRS.h                                                                         | C++          |        121 |         18 |         23 |        162 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerQRCodeSIM7000NBIOT.h                                                                   | C++          |        145 |         24 |         26 |        195 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerQRCodeSIMNBIOT.h                                                                       | C++          |        145 |         24 |         26 |        195 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerSIMPRO.h                                                                               | C++          |        123 |         40 |         26 |        189 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerSerialBLE.h                                                                            | C++          |        156 |         10 |          8 |        174 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerSerialESPMQTT.h                                                                        | C++          |        124 |         18 |          9 |        151 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerSerialLUATGPRS.h                                                                       | C++          |        122 |         20 |         23 |        165 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerSerialSIM7000NBIoT.h                                                                   | C++          |        143 |         20 |         26 |        189 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerSerialSIMNBIoT.h                                                                       | C++          |        143 |         20 |         26 |        189 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerSerialWHNBIoT.h                                                                        | C++          |         96 |         18 |          8 |        122 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerSubDevice.h                                                                            | C++          |         22 |          0 |          7 |         29 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\BlinkerWidgets.h                                                                              | C++          |         39 |          2 |         14 |         55 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerATMaster.h                                                                     | C++          |        130 |         19 |         36 |        185 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerApi.h                                                                          | C++          |     11,261 |      2,006 |      2,403 |     15,670 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerApiBase.h                                                                      | C++          |        399 |        236 |        142 |        777 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerAuto.h                                                                         | C++          |        341 |        532 |        153 |      1,026 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerAutoGateway.h                                                                  | C++          |          0 |          0 |          1 |          1 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerAutoSubdevice.h                                                                | C++          |         22 |         33 |         11 |         66 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerConfig.h                                                                       | C++          |        803 |        590 |        745 |      2,138 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerDataTicker.h                                                                   | C++          |          0 |         25 |         11 |         36 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerDebug.cpp                                                                      | C++          |         95 |         22 |         13 |        130 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerDebug.h                                                                        | C++          |         91 |          8 |         20 |        119 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerMQTTATBase.h                                                                   | C++          |        319 |         63 |         70 |        452 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerProtocol.h                                                                     | C++          |        395 |        153 |         90 |        638 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerStream.h                                                                       | C++          |        136 |         26 |         17 |        179 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerTimer.cpp                                                                      | C++          |        113 |          2 |         29 |        144 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerTimer.h                                                                        | C++          |         45 |          1 |         12 |         58 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerUtility.cpp                                                                    | C++          |        206 |         20 |         53 |        279 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Blinker\BlinkerUtility.h                                                                      | C++          |        142 |         12 |         41 |        195 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerAIR202.h                                                                     | C++          |        440 |        223 |        152 |        815 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerAliGenie.h                                                                   | C++          |        448 |         17 |        155 |        620 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerBridge.h                                                                     | C++          |         42 |         13 |         11 |         66 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerButton.h                                                                     | C++          |        167 |          0 |         54 |        221 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerChart.h                                                                      | C++          |         54 |          0 |         16 |         70 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerDuerOS.h                                                                     | C++          |        666 |         26 |        244 |        936 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerEvent.h                                                                      | C++          |         24 |          0 |          9 |         33 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerHTTPAIR202.h                                                                 | C++          |        578 |        149 |        155 |        882 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerHTTPSIM7000.h                                                                | C++          |        494 |        449 |        109 |      1,052 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerHTTPSIM7020.h                                                                | C++          |        975 |         85 |        171 |      1,231 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerImage.h                                                                      | C++          |         30 |          3 |         11 |         44 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerJoystick.h                                                                   | C++          |         22 |          3 |          7 |         32 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerMIOT.h                                                                       | C++          |        653 |         85 |        240 |        978 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerMQTTAIR202.h                                                                 | C++          |        448 |        193 |        124 |        765 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerMQTTSIM7000.h                                                                | C++          |        423 |        125 |        116 |        664 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerMQTTSIM7020.h                                                                | C++          |        374 |         89 |        108 |        571 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerNumber.h                                                                     | C++          |        119 |          1 |         38 |        158 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerOTA.h                                                                        | C++          |        259 |        232 |         93 |        584 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerRGB.h                                                                        | C++          |         52 |          1 |         14 |         67 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerSIM7000.h                                                                    | C++          |        302 |        146 |         95 |        543 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerSIM7020.h                                                                    | C++          |        380 |        197 |        119 |        696 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerSlider.h                                                                     | C++          |         67 |          1 |         20 |         88 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerSwitch.h                                                                     | C++          |         20 |          2 |          6 |         28 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerTab.h                                                                        | C++          |         72 |          1 |         18 |         91 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerTable.h                                                                      | C++          |         63 |          0 |         24 |         87 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerText.h                                                                       | C++          |         97 |          2 |         30 |        129 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerTicker.h                                                                     | C++          |         54 |          4 |         15 |         73 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerTimingTimer.h                                                                | C++          |         69 |         16 |         28 |        113 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerUpdater.cpp                                                                  | C++          |        661 |        550 |        171 |      1,382 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerUpdater.h                                                                    | C++          |        198 |        211 |         79 |        488 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Functions\BlinkerWlan.h                                                                       | C++          |          0 |        532 |        111 |        643 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\Server\BlinkerServer.h                                                                        | C++          |         20 |          0 |          4 |         24 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson.h                                                             | C++          |          7 |          3 |          8 |         18 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson.hpp                                                           | C++          |         64 |          5 |         12 |         81 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Array\ArrayFunctions.hpp                                      | C++          |         22 |          3 |          7 |         32 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Array\ArrayImpl.hpp                                           | C++          |         18 |          3 |          8 |         29 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Array\ArrayIterator.hpp                                       | C++          |         91 |          3 |         28 |        122 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Array\ArrayRef.hpp                                            | C++          |        158 |         10 |         46 |        214 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Array\ArrayShortcuts.hpp                                      | C++          |         28 |         13 |          9 |         50 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Array\ElementProxy.hpp                                        | C++          |        135 |         24 |         35 |        194 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Array\Utilities.hpp                                           | C++          |         73 |         15 |         16 |        104 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Collection\CollectionData.hpp                                 | C++          |         49 |         11 |         30 |         90 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Collection\CollectionImpl.hpp                                 | C++          |        201 |          5 |         32 |        238 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Configuration.hpp                                             | C++          |        171 |         30 |         36 |        237 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\ArduinoStreamReader.hpp                       | C++          |         18 |          4 |         10 |         32 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\CharPointerReader.hpp                         | C++          |         50 |          3 |         15 |         68 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\DeserializationError.hpp                      | C++          |         84 |          7 |         17 |        108 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\Filter.hpp                                    | C++          |         47 |          3 |         17 |         67 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\FlashStringReader.hpp                         | C++          |         34 |          3 |         12 |         49 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\IteratorReader.hpp                            | C++          |         22 |          3 |          7 |         32 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\NestingLimit.hpp                              | C++          |         19 |          3 |          8 |         30 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\Reader.hpp                                    | C++          |         36 |          6 |         15 |         57 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\Readers\ArduinoStreamReader.hpp               | C++          |         19 |          4 |          9 |         32 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\Readers\ArduinoStringReader.hpp               | C++          |         11 |          3 |          6 |         20 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\Readers\FlashReader.hpp                       | C++          |         41 |          3 |         12 |         56 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\Readers\IteratorReader.hpp                    | C++          |         32 |          3 |          9 |         44 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\Readers\RamReader.hpp                         | C++          |         36 |          3 |         12 |         51 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\Readers\StdStreamReader.hpp                   | C++          |         19 |          3 |          8 |         30 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\Readers\VariantReader.hpp                     | C++          |         24 |          3 |          8 |         35 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\StdStreamReader.hpp                           | C++          |         21 |          3 |         11 |         35 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Deserialization\deserialize.hpp                               | C++          |         50 |         15 |          7 |         72 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Document\BasicJsonDocument.hpp                                | C++          |        125 |         10 |         32 |        167 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Document\DynamicJsonDocument.hpp                              | C++          |         17 |          3 |         10 |         30 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Document\JsonDocument.hpp                                     | C++          |        235 |         53 |         62 |        350 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Document\StaticJsonDocument.hpp                               | C++          |         39 |          4 |         14 |         57 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Json\EscapeSequence.hpp                                       | C++          |         28 |          5 |          7 |         40 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Json\JsonDeserializer.hpp                                     | C++          |        556 |         76 |        104 |        736 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Json\JsonSerializer.hpp                                       | C++          |        106 |          3 |         35 |        144 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Json\Latch.hpp                                                | C++          |         42 |          4 |         11 |         57 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Json\PrettyJsonSerializer.hpp                                 | C++          |         71 |          3 |         16 |         90 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Json\TextFormatter.hpp                                        | C++          |        132 |          9 |         31 |        172 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Json\Utf16.hpp                                                | C++          |         47 |          6 |         15 |         68 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Json\Utf8.hpp                                                 | C++          |         34 |          5 |          8 |         47 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Memory\Alignment.hpp                                          | C++          |         41 |          3 |         17 |         61 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Memory\MemoryPool.hpp                                         | C++          |        148 |         27 |         37 |        212 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Memory\StringBuilder.hpp                                      | C++          |         35 |          3 |         13 |         51 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Memory\StringSlot.hpp                                         | C++          |         10 |          3 |          6 |         19 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Misc\SafeBoolIdiom.hpp                                        | C++          |         16 |          3 |          8 |         27 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Misc\SerializedValue.hpp                                      | C++          |         49 |          5 |         15 |         69 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\Misc\Visitable.hpp                                            | C++          |         10 |          5 |          7 |         22 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\src\modules\ArduinoJson\ArduinoJson\MsgPack\MsgPackDeserializer.hpp                               | C++          |        474 |         31 |         97 |        602 |
