Date : 2023-10-01 09:29:30
Directory : c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu
Total : 642 files,  499221 codes, 101143 comments, 30508 blanks, all 630872 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_OUTLET                                                                                                                    |          1 |         66 |         44 |         21 |        131 |
| lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_SENSOR                                                                                                                    |          1 |         49 |         44 |         14 |        107 |
| lib\Blinker\examples\Blinker_Weathers                                                                                                                                                    |          2 |         72 |         88 |         27 |        187 |
| lib\Blinker\examples\Blinker_Weathers\Blinker_Air                                                                                                                                        |          1 |         33 |         44 |         13 |         90 |
| lib\Blinker\examples\Blinker_Weathers\Blinker_Air\Air_WiFi                                                                                                                               |          1 |         33 |         44 |         13 |         90 |
| lib\Blinker\examples\Blinker_Weathers\Blinker_Weather                                                                                                                                    |          1 |         39 |         44 |         14 |         97 |
| lib\Blinker\examples\Blinker_Weathers\Blinker_Weather\Weather_WiFi                                                                                                                       |          1 |         39 |         44 |         14 |         97 |
| lib\Blinker\examples\Blinker_WiFi_Config                                                                                                                                                 |          4 |        151 |        194 |         56 |        401 |
| lib\Blinker\examples\Blinker_WiFi_Config\Blinker_APCONFIG                                                                                                                                |          1 |         37 |         48 |         14 |         99 |
| lib\Blinker\examples\Blinker_WiFi_Config\Blinker_APCONFIG\APCONFIG_WiFi                                                                                                                  |          1 |         37 |         48 |         14 |         99 |
| lib\Blinker\examples\Blinker_WiFi_Config\Blinker_APCONFIG_V2                                                                                                                             |          1 |         37 |         48 |         13 |         98 |
| lib\Blinker\examples\Blinker_WiFi_Config\Blinker_ESPTOUCH                                                                                                                                |          1 |         37 |         48 |         14 |         99 |
| lib\Blinker\examples\Blinker_WiFi_Config\Blinker_ESPTOUCH\ESPTOUCH_WiFi                                                                                                                  |          1 |         37 |         48 |         14 |         99 |
| lib\Blinker\examples\Blinker_WiFi_Config\Blinker_Multi_WiFi                                                                                                                              |          1 |         40 |         50 |         15 |        105 |
| lib\Blinker\examples\Blinker_WiFi_Config\Blinker_Multi_WiFi\Multi_WiFi                                                                                                                   |          1 |         40 |         50 |         15 |        105 |
| lib\Blinker\examples\Blinker_Widgets                                                                                                                                                     |         31 |      1,231 |      1,414 |        494 |      3,139 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_AUTO                                                                                                                                        |          2 |        150 |        125 |         50 |        325 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_AUTO\AUTO_Pro                                                                                                                               |          1 |         86 |         76 |         28 |        190 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_AUTO\AUTO_WiFi                                                                                                                              |          1 |         64 |         49 |         22 |        135 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Button                                                                                                                                      |          2 |        147 |         97 |         43 |        287 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Button\Button_BLE                                                                                                                           |          1 |         72 |         49 |         21 |        142 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Button\Button_WiFi                                                                                                                          |          1 |         75 |         48 |         22 |        145 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Heartbeat                                                                                                                                   |          2 |         97 |         88 |         39 |        224 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Heartbeat\Heartbeat_BLE                                                                                                                     |          1 |         44 |         44 |         18 |        106 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Heartbeat\Heartbeat_WiFi                                                                                                                    |          1 |         53 |         44 |         21 |        118 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Image                                                                                                                                       |          1 |         40 |         44 |         15 |         99 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Image\Image_WiFi                                                                                                                            |          1 |         40 |         44 |         15 |         99 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Joystick                                                                                                                                    |          2 |         63 |         88 |         31 |        182 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Joystick\Joystick_BLE                                                                                                                       |          1 |         30 |         44 |         15 |         89 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Joystick\Joystick_WiFi                                                                                                                      |          1 |         33 |         44 |         16 |         93 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Notify                                                                                                                                      |          2 |         51 |         88 |         24 |        163 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Notify\Notify_BLE                                                                                                                           |          1 |         24 |         44 |         11 |         79 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Notify\Notify_WiFi                                                                                                                          |          1 |         27 |         44 |         13 |         84 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Number                                                                                                                                      |          2 |         61 |         88 |         31 |        180 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Number\Number_BLE                                                                                                                           |          1 |         29 |         44 |         15 |         88 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Number\Number_WiFi                                                                                                                          |          1 |         32 |         44 |         16 |         92 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_PUSH                                                                                                                                        |          1 |         28 |         44 |         12 |         84 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_PUSH\PUSH_WiFi                                                                                                                              |          1 |         28 |         44 |         12 |         84 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Print                                                                                                                                       |          2 |         47 |         88 |         21 |        156 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Print\Print_BLE                                                                                                                             |          1 |         22 |         44 |         10 |         76 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Print\Print_WiFi                                                                                                                            |          1 |         25 |         44 |         11 |         80 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_RGB                                                                                                                                         |          2 |         73 |         88 |         33 |        194 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_RGB\RGB_BLE                                                                                                                                 |          1 |         35 |         44 |         16 |         95 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_RGB\RGB_WiFi                                                                                                                                |          1 |         38 |         44 |         17 |         99 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_SMS                                                                                                                                         |          1 |         28 |         44 |         12 |         84 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_SMS\SMS_WiFi                                                                                                                                |          1 |         28 |         44 |         12 |         84 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Slider                                                                                                                                      |          2 |         67 |         88 |         33 |        188 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Slider\Slider_BLE                                                                                                                           |          1 |         32 |         44 |         16 |         92 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Slider\Slider_WiFi                                                                                                                          |          1 |         35 |         44 |         17 |         96 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Summary                                                                                                                                     |          1 |         53 |         44 |         21 |        118 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Summary\Summary_WiFi                                                                                                                        |          1 |         53 |         44 |         21 |        118 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Switch                                                                                                                                      |          2 |         57 |         88 |         21 |        166 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Switch\Switch_BLE                                                                                                                           |          1 |         27 |         44 |         10 |         81 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Switch\Switch_WiFi                                                                                                                          |          1 |         30 |         44 |         11 |         85 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_TEXT                                                                                                                                        |          2 |         55 |         88 |         31 |        174 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_TEXT\TEXT_BLE                                                                                                                               |          1 |         26 |         44 |         15 |         85 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_TEXT\TEXT_WiFi                                                                                                                              |          1 |         29 |         44 |         16 |         89 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Tab                                                                                                                                         |          1 |         71 |         44 |         19 |        134 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Tab\Tab_WiFi                                                                                                                                |          1 |         71 |         44 |         19 |        134 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Time                                                                                                                                        |          1 |         36 |         44 |         15 |         95 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_Time\Time_WiFi                                                                                                                              |          1 |         36 |         44 |         15 |         95 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_WECHAT                                                                                                                                      |          1 |         28 |         44 |         12 |         84 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_WECHAT\WECHAT_WiFi                                                                                                                          |          1 |         28 |         44 |         12 |         84 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_WS2812                                                                                                                                      |          2 |         79 |         92 |         31 |        202 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_WS2812\WS2812_BLE                                                                                                                           |          1 |         38 |         46 |         15 |         99 |
| lib\Blinker\examples\Blinker_Widgets\Blinker_WS2812\WS2812_WiFi                                                                                                                          |          1 |         41 |         46 |         16 |        103 |
| lib\Blinker\src                                                                                                                                                                          |        305 |     66,666 |     19,781 |     18,363 |    104,810 |
| lib\Blinker\src (Files)                                                                                                                                                                  |         25 |      2,557 |      1,110 |        761 |      4,428 |
| lib\Blinker\src\Adapters                                                                                                                                                                 |         25 |     23,461 |      8,536 |      6,861 |     38,858 |
| lib\Blinker\src\Blinker                                                                                                                                                                  |         17 |     14,498 |      3,748 |      3,847 |     22,093 |
| lib\Blinker\src\Functions                                                                                                                                                                |         31 |      8,251 |      3,356 |      2,543 |     14,150 |
| lib\Blinker\src\Server                                                                                                                                                                   |          1 |         20 |          0 |          4 |         24 |
| lib\Blinker\src\modules                                                                                                                                                                  |        206 |     17,879 |      3,031 |      4,347 |     25,257 |
| lib\Blinker\src\modules\ArduinoJson                                                                                                                                                      |        165 |      9,012 |      1,064 |      2,474 |     12,550 |
| lib\Blinker\src\modules\ArduinoJson (Files)                                                                                                                                              |          2 |         71 |          8 |         20 |         99 |
| lib\Blinker\src\modules\ArduinoJson\ArduinoJson                                                                                                                                          |        163 |      8,941 |      1,056 |      2,454 |     12,451 |
| lib\Blinker\src\modules\ArduinoJson\ArduinoJson (Files)                                                                                                                                  |          4 |        205 |         41 |         53 |        299 |
